SMILES,MW (desalted),ClogP,HBD,TPSA,RotBonds
CC(c1nc(-c2cccs2)no1)N1CCn2c(nnc2C2CC2)C1,342.419,1.187,0,72.87,4
Cc1cc(NC(=O)c2cnn(-c3ccc(C(F)(F)F)cn3)c2C(C)C)ccc1Oc1cccnc1,481.47,4.465,1,81.93,7
Cc1cn2nc(N3CCCC3c3noc(C(C)C)n3)sc2n1,318.397,1.734,0,72.35,3
CC(C)c1cc(C(=O)N2CCCC(c3cc(C(N)=O)[nH]n3)C2)on1,331.37,0.54,2,118.11,4
CSc1sc(NC(=O)Cc2cccc(C(F)(F)F)c2)nc1C,346.391,4.07,1,41.99,5
Cc1cc(C)n(-c2ccc(NC(=O)c3c(O)cc(F)cc3F)cc2F)n1,361.318,4.518,2,67.15,3
CN1CCN(c2cc(CNC(=O)N3CCN(c4cccc(C(F)(F)F)c4)CC3)ccn2)CC1,462.511,3.618,1,54.95,5
Cn1ccnc1[C@@H]1[C@@H](C(=O)NCCc2ccc[nH]2)CCC(=O)N1C1CC1,355.434,-0.358,2,83.02,6
CCc1c(C(=O)N2CCC(C)(C(=O)O)C2)cnn1C(C)(C)C,307.388,1.576,1,75.43,4
N#Cc1ccc(CC(=O)N2C[C@@H](C(N)=O)[C@H](C(F)(F)F)C2)cc1,325.286,0.454,1,87.19,4
COc1ccccc1Cc1nnc(-c2cnc3onc(-c4ccccc4)c3c2)o1,384.387,3.421,0,87.07,5
CCOCC(O)CN1CCN(C(=O)c2ccc(N(C)C)nc2)CC1,336.429,0.7,1,69.14,7
CCCc1n[nH]c(C2CN(C(=O)c3cc(Cl)c[nH]3)CCO2)n1,323.778,1.062,2,86.9,4
CN(Cc1ccccc1N1CCCC1)S(N)(=O)=O,269.363,1.24,1,66.64,3
O=C(c1ccc(Cl)cc1)c1c(NC(=O)C2CCOC2)sc2c1CCC2,375.869,4.605,1,55.4,4
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NCc1ccc(CO)c(F)c1,392.784,2.901,2,75.36,4
CCCOc1ccc(C(F)(F)F)cc1NC(=O)Cc1ccccc1C,351.363,4.997,1,38.33,7
Cc1cn(C)nc1C(=O)N[C@@H]1CCCC[C@@H]1Cc1n[nH]c(=O)n1C,332.401,0.707,2,91.62,4
Cc1cc(S(=O)(=O)N2C[C@@H](C(=O)NC3CC3)[C@H](c3cn(C)cn3)C2)cs1,394.512,0.881,1,84.3,4
CCNc1ncnc2cc(C(=O)NCc3cnc(C)s3)ccc12,327.404,2.64,2,79.8,5
CN1C(=O)CC[C@H](C(=O)NCCc2ccc[nH]2)[C@H]1c1nccn1C,329.397,-0.852,2,83.02,5
CC(C)Oc1ccc(CCNC(=O)C(O)C(C)(C)O)cc1,295.374,1.638,3,78.79,7
Cn1cc([C@H]2OCCC[C@@H]2NC(=O)Nc2ccc(-c3ncn(C)n3)cc2)cn1,381.432,0.58,2,98.89,4
